nodeLatitude,nodeLongitude,geoidHeight
15.0166667,-65.8,-35.7521
15.0166667,-65.7833333,-35.8026
15.0166667,-65.7666667,-35.855
15.0166667,-65.75,-35.9088
15.0166667,-65.7333333,-35.9633
15.0166667,-65.7166667,-36.0184
15.0166667,-65.7,-36.073
15.0166667,-65.6833333,-36.1287
15.0166667,-65.6666667,-36.1839
15.0166667,-65.65,-36.238
15.0166667,-65.6333333,-36.2902
15.0166667,-65.6166667,-36.3401
15.0166667,-65.6,-36.3872
15.0166667,-65.5833333,-36.4313
15.0166667,-65.5666667,-36.4729
15.0166667,-65.55,-36.5121
15.0166667,-65.5333333,-36.55
15.0166667,-65.5166667,-36.5876
15.0166667,-65.5,-36.6255
15.0166667,-65.4833333,-36.6637
15.0166667,-65.4666667,-36.7016
15.0166667,-65.45,-36.7386
15.0166667,-65.4333333,-36.7742
15.0166667,-65.4166667,-36.8082
15.0166667,-65.4,-36.8405
15.0166667,-65.3833333,-36.8715
15.0166667,-65.3666667,-36.9018
15.0166667,-65.35,-36.9315
15.0166667,-65.3333333,-36.9607
15.0166667,-65.3166667,-36.9894
15.0166667,-65.3,-37.0171
