lat,lon,de,dn,du
54.5,-139.25,0.03288,-0.02942,0.0
54.75,-139.25,0.03297,-0.02911,0.0
55.0,-139.25,0.03307,-0.02879,0.0
55.25,-139.25,0.03313,-0.02849,0.0
55.5,-139.25,0.03321,-0.02821,0.0
55.75,-139.25,0.03327,-0.02792,0.0
56.0,-139.25,0.03332,-0.02764,0.0
56.25,-139.25,0.03317,-0.02747,0.0
56.5,-139.25,0.03299,-0.02732,0.0
56.75,-139.25,0.03281,-0.02723,0.0
57.0,-139.25,0.03256,-0.02722,0.0
57.25,-139.25,0.032,-0.0273,0.0
57.5,-139.25,0.03138,-0.02749,0.0
57.75,-139.25,0.03068,-0.02783,0.0
58.0,-139.25,0.02968,-0.02871,0.0
58.25,-139.25,0.02798,-0.03315,0.0
58.5,-139.25,0.02688,-0.03377,0.0
58.75,-139.25,0.02596,-0.03398,0.0
59.0,-139.25,0.02504,-0.03412,0.0
59.25,-139.25,0.02435,-0.03369,0.0
59.5,-139.25,0.02306,-0.03382,0.0
59.75,-139.25,0.01975,-0.03313,0.0
60.0,-139.25,0.00189,-0.02055,0.0
60.25,-139.25,-0.00614,-0.01131,0.0
60.5,-139.25,-0.00829,-0.00988,0.0
60.75,-139.25,-0.0093,-0.0094,0.0
61.0,-139.25,-0.01033,-0.0092,0.0
61.25,-139.25,-0.01212,-0.00932,0.0
61.5,-139.25,-0.01412,-0.00949,0.0
61.75,-139.25,-0.01577,-0.00984,0.0
62.0,-139.25,-0.01685,-0.01,0.0
62.25,-139.25,-0.01732,-0.01,0.0
62.5,-139.25,-0.01766,-0.00999,0.0
62.75,-139.25,-0.01794,-0.00998,0.0
63.0,-139.25,-0.01817,-0.00997,0.0
63.25,-139.25,-0.01802,-0.00987,0.0
63.5,-139.25,-0.01782,-0.00976,0.0
63.75,-139.25,-0.01921,-0.01244,0.0
64.0,-139.25,-0.01902,-0.01241,0.0
54.0,-139.0,0.03259,-0.02994,0.0
54.25,-139.0,0.03271,-0.02964,0.0
54.5,-139.0,0.0328,-0.02933,0.0
54.75,-139.0,0.03291,-0.02901,0.0
55.0,-139.0,0.03303,-0.02868,0.0
55.25,-139.0,0.03306,-0.02841,0.0
55.5,-139.0,0.03312,-0.02812,0.0
55.75,-139.0,0.03317,-0.02783,0.0
56.0,-139.0,0.0333,-0.02752,0.0
56.25,-139.0,0.03302,-0.02739,0.0
56.5,-139.0,0.0328,-0.02726,0.0
56.75,-139.0,0.03257,-0.02717,0.0
57.0,-139.0,0.0324,-0.02719,0.0
57.25,-139.0,0.03161,-0.0273,0.0
57.5,-139.0,0.03093,-0.02755,0.0
57.75,-139.0,0.03015,-0.02796,0.0
58.0,-139.0,0.02952,-0.02901,0.0
58.25,-139.0,0.02731,-0.03337,0.0
58.5,-139.0,0.02626,-0.03377,0.0
58.75,-139.0,0.02535,-0.03392,0.0
59.0,-139.0,0.02392,-0.0345,0.0
59.25,-139.0,0.02298,-0.03384,0.0
59.5,-139.0,0.02171,-0.03393,0.0
59.75,-139.0,-0.01942,-0.0078,0.0
60.0,-139.0,-0.00406,-0.01366,0.0
60.25,-139.0,-0.00751,-0.01067,0.0
60.5,-139.0,-0.00871,-0.00978,0.0
60.75,-139.0,-0.00952,-0.0094,0.0
61.0,-139.0,-0.01022,-0.00917,0.0
61.25,-139.0,-0.01235,-0.00938,0.0
61.5,-139.0,-0.01441,-0.00971,0.0
61.75,-139.0,-0.01585,-0.00999,0.0
62.0,-139.0,-0.0171,-0.01019,0.0
62.25,-139.0,-0.0173,-0.01014,0.0
62.5,-139.0,-0.01764,-0.01012,0.0
62.75,-139.0,-0.01792,-0.01011,0.0
63.0,-139.0,-0.0183,-0.01013,0.0
63.25,-139.0,-0.01797,-0.00998,0.0
63.5,-139.0,-0.01777,-0.00986,0.0
63.75,-139.0,-0.01912,-0.01254,0.0
64.0,-139.0,-0.01894,-0.01251,0.0
54.0,-138.75,0.03258,-0.02984,0.0
54.25,-138.75,0.03265,-0.02954,0.0
54.5,-138.75,0.03274,-0.02924,0.0
54.75,-138.75,0.03284,-0.02892,0.0
55.0,-138.75,0.03294,-0.02862,0.0
55.25,-138.75,0.03299,-0.02832,0.0
55.5,-138.75,0.03302,-0.02804,0.0
55.75,-138.75,0.03305,-0.02775,0.0
56.0,-138.75,0.03306,-0.02748,0.0
56.25,-138.75,0.03285,-0.02731,0.0
56.5,-138.75,0.03261,-0.02718,0.0
56.75,-138.75,0.03231,-0.0271,0.0
57.0,-138.75,0.03192,-0.02712,0.0
57.25,-138.75,0.0312,-0.02727,0.0
57.5,-138.75,0.03039,-0.02764,0.0
57.75,-138.75,0.02955,-0.02812,0.0
58.0,-138.75,0.02634,-0.03421,0.0
58.25,-138.75,0.02653,-0.03344,0.0
58.5,-138.75,0.02557,-0.03371,0.0
58.75,-138.75,0.02461,-0.03377,0.0
59.0,-138.75,0.02314,-0.03392,0.0
59.25,-138.75,0.02115,-0.03385,0.0
